,value,experiments
612,2103656.0,
613,2103746.0,
614,2103584.0,
615,2103579.0,
616,2103606.0,
617,2103630.0,
618,2103752.0,
619,2103594.0,
620,2103578.0,
621,2103665.0,
622,2103714.0,
623,2103684.0,
624,2103614.0,
625,2103651.0,
626,2103593.0,
627,2103590.0,
628,2103601.0,
629,2103554.0,
630,2103639.0,
631,2103567.0,
632,2103552.0,
633,2103670.0,
634,2103824.0,
635,2103646.0,
636,2103781.0,
637,2103586.0,
638,2103637.0,
639,2103575.0,
640,2103765.0,
641,2103754.0,
642,2103758.0,
643,2103676.0,
644,2103619.0,
645,2103608.0,
646,2103657.0,
647,2103787.0,
648,2103812.0,
649,2103737.0,
650,2103557.0,
651,2103686.0,
652,2103620.0,
653,2103656.0,
654,2103835.0,
655,2103776.0,
656,2103746.0,
657,2103640.0,
658,2103547.0,
659,2103558.0,
660,2103556.0,
661,2103493.0,
662,2103631.0,
663,2103795.0,
664,2103708.0,
665,2103765.0,
666,2103699.0,
667,2103558.0,
668,2103646.0,
669,2103573.0,
670,2103770.0,
671,2103781.0,
672,2103718.0,
673,2103550.0,
674,2103599.0,
675,2103569.0,
676,2103641.0,
677,2103582.0,
678,2103637.0,
679,2103690.0,
680,2103831.0,
681,2103590.0,
682,2103675.0,
683,2103668.0,
684,2103609.0,
685,2103604.0,
686,2103821.0,
687,2103649.0,
688,2103737.0,
689,2103677.0,
690,2103811.0,
691,2103812.0,
692,2103622.0,
693,2103592.0,
694,2103628.0,
695,2103553.0,
696,2103823.0,
697,2103767.0,
698,2103544.0,
699,2103604.0,
700,2103797.0,
701,2103556.0,
702,2103668.0,
703,2103672.0,
704,2103634.0,
705,2103788.0,
706,2103737.0,
707,2103620.0,
708,2103645.0,
709,2103857.0,
710,2103708.0,
711,2103599.0,
712,2103764.0,
713,2103595.0,
714,2103599.0,
715,2103635.0,
716,2103607.0,
717,2103775.0,
718,2103679.0,
719,2103714.0,
720,2103700.0,
721,2103739.0,
722,2103610.0,
723,2103538.0,
724,2103838.0,
725,2103764.0,
726,2103729.0,
727,2103647.0,
728,2103570.0,
729,2103583.0,
730,2103687.0,
731,2103557.0,
732,2103750.0,
733,2103601.0,
734,2103629.0,
735,2103658.0,
736,2103607.0,
737,2103718.0,
738,2103715.0,
739,2103661.0,
740,2103740.0,
741,2103756.0,
742,2103787.0,
743,2103767.0,
744,2103738.0,
745,2103612.0,
746,2103715.0,
747,2103689.0,
748,2103698.0,
749,2103640.0,
750,2103564.0,
751,2103631.0,
752,2103572.0,
753,2103584.0,
754,2103671.0,
755,2103635.0,
756,2103675.0,
757,2103538.0,
758,2103626.0,
759,2103618.0,
760,2103534.0,
761,2103576.0,
762,2103696.0,
763,2103755.0,
764,2103724.0,
765,2103641.0,
766,2103534.0,
767,2103583.0,
768,2103751.0,
769,2103571.0,
770,2103817.0,
771,2103658.0,
772,2103733.0,
773,2103716.0,
774,2103873.0,
775,2103808.0,
776,2103758.0,
777,2103595.0,
778,2103608.0,
779,2103583.0,
780,2103577.0,
781,2103568.0,
782,2103814.0,
783,2103770.0,
784,2103579.0,
785,2103657.0,
786,2103605.0,
787,2103556.0,
788,2103589.0,
789,2103574.0,
790,2103778.0,
791,2103717.0,
792,2103532.0,
793,2103769.0,
794,2103619.0,
795,2103652.0,
796,2103659.0,
797,2103617.0,
798,2103600.0,
799,2103718.0,
800,2103708.0,
801,2103786.0,
802,2103636.0,
803,2103879.0,
804,2103753.0,
805,2103801.0,
806,2103752.0,
807,2103759.0,
808,2103840.0,
809,2103754.0,
810,2103808.0,
811,2103747.0,
812,2103611.0,
813,2103518.0,
814,2103647.0,
815,2103822.0,
816,2103729.0,
817,2103733.0,
818,2103704.0,
819,2103766.0,
820,2103752.0,
821,2103775.0,
822,2103582.0,
823,2103836.0,
824,2103792.0,
825,2103779.0,
826,2103821.0,
827,2103790.0,
828,2103821.0,
829,2103581.0,
830,2103566.0,
831,2103699.0,
832,2103593.0,
833,2103740.0,
834,2103578.0,
835,2103597.0,
836,2103598.0,
837,2103548.0,
838,2103602.0,
839,2103616.0,
840,2103637.0,
841,2103586.0,
842,2103496.0,
843,2103625.0,
844,2103589.0,
845,2103738.0,
846,2103575.0,
847,2103629.0,
848,2103719.0,
849,2103745.0,
850,2103572.0,
851,2103779.0,
852,2103599.0,
853,2103657.0,
854,2103631.0,
855,2103559.0,
856,2103554.0,
857,2103634.0,
858,2103516.0,
859,2103766.0,
860,2103731.0,
861,2103804.0,
862,2103782.0,
863,2103762.0,
864,2103756.0,
865,2103743.0,
866,2103580.0,
867,2103530.0,
868,2103555.0,
869,2103542.0,
870,2103565.0,
871,2103617.0,
872,2103561.0,
873,2103686.0,
874,2103792.0,
875,2103773.0,
876,2103693.0,
877,2103552.0,
878,2103629.0,
879,2103608.0,
880,2103781.0,
881,2103720.0,
882,2103714.0,
883,2103614.0,
884,2103602.0,
885,2103808.0,
886,2103613.0,
887,2103656.0,
888,2103776.0,
889,2103590.0,
890,2103628.0,
891,2103677.0,
892,2103760.0,
893,2103760.0,
894,2103653.0,
895,2103739.0,
896,2103596.0,
897,2103559.0,
898,2103733.0,
899,2103571.0,
900,2103772.0,
901,2103818.0,
902,2103630.0,
903,2103606.0,
904,2103561.0,
905,2103549.0,
906,2103714.0,
907,2103640.0,
908,2103800.0,
909,2103704.0,
910,2103699.0,
911,2103824.0,
912,2103702.0,
913,2103730.0,
914,2103733.0,
915,2103614.0,
916,2103630.0,
917,2103621.0,
918,2103643.0,
919,2103792.0,
920,2103618.0,
921,2103622.0,
922,2103618.0,
923,2103580.0,
924,2103576.0,
925,2103842.0,
926,2103613.0,
927,2103621.0,
928,2103568.0,
929,2103802.0,
930,2103758.0,
931,2103614.0,
932,2103573.0,
933,2103640.0,
934,2103621.0,
935,2103557.0,
936,2103809.0,
937,2103607.0,
938,2103636.0,
939,2103666.0,
940,2103665.0,
941,2103599.0,
942,2103598.0,
943,2103571.0,
944,2103617.0,
945,2103652.0,
946,2103659.0,
947,2103565.0,
948,2103650.0,
949,2103810.0,
950,2103596.0,
951,2103611.0,
952,2103760.0,
953,2103597.0,
954,2103606.0,
955,2103682.0,
956,2103664.0,
957,2103649.0,
958,2103834.0,
959,2103602.0,
960,2103581.0,
961,2103441.0,
962,2103570.0,
963,2103846.0,
964,2103569.0,
965,2103513.0,
966,2103595.0,
967,2103635.0,
968,2103816.0,
969,2103617.0,
970,2103710.0,
971,2103765.0,
972,2103657.0,
973,2103579.0,
974,2103726.0,
975,2103727.0,
976,2103590.0,
977,2103606.0,
978,2103664.0,
