light_intensity	ts
2628680,000000	2021-05-18T22:07:45:799
2630083,000000	2021-05-18T22:07:45:840
2632068,000000	2021-05-18T22:07:45:879
2633349,000000	2021-05-18T22:07:45:921
2635748,000000	2021-05-18T22:07:45:959
2637521,000000	2021-05-18T22:07:46:1
2639943,000000	2021-05-18T22:07:46:40
2642356,000000	2021-05-18T22:07:46:81
2644791,000000	2021-05-18T22:07:46:119
2648742,000000	2021-05-18T22:07:46:161
2651357,000000	2021-05-18T22:07:46:199
2651960,000000	2021-05-18T22:07:46:241
2650708,000000	2021-05-18T22:07:46:280
2648037,000000	2021-05-18T22:07:46:321
2646132,000000	2021-05-18T22:07:46:360
2646749,000000	2021-05-18T22:07:46:401
2644797,000000	2021-05-18T22:07:46:440
2645659,000000	2021-05-18T22:07:46:481
2647123,000000	2021-05-18T22:07:46:520
2648415,000000	2021-05-18T22:07:46:561
2649485,000000	2021-05-18T22:07:46:599
2650337,000000	2021-05-18T22:07:46:641
2652318,000000	2021-05-18T22:07:46:680
2654397,000000	2021-05-18T22:07:46:721
2656446,000000	2021-05-18T22:07:46:760
2659840,000000	2021-05-18T22:07:46:802
2662233,000000	2021-05-18T22:07:46:840
2664717,000000	2021-05-18T22:07:46:882
2668511,000000	2021-05-18T22:07:46:920
2669923,000000	2021-05-18T22:07:46:962
2672449,000000	2021-05-18T22:07:47:0
2675314,000000	2021-05-18T22:07:47:42
2675424,000000	2021-05-18T22:07:47:81
2673069,000000	2021-05-18T22:07:47:121
2670283,000000	2021-05-18T22:07:47:160
2669213,000000	2021-05-18T22:07:47:202
2669453,000000	2021-05-18T22:07:47:240
2668889,000000	2021-05-18T22:07:47:282
2670316,000000	2021-05-18T22:07:47:321
2669451,000000	2021-05-18T22:07:47:362
2670103,000000	2021-05-18T22:07:47:401
2670576,000000	2021-05-18T22:07:47:442
2671736,000000	2021-05-18T22:07:47:481
2673281,000000	2021-05-18T22:07:47:522
2674609,000000	2021-05-18T22:07:47:561
2676295,000000	2021-05-18T22:07:47:602
2678384,000000	2021-05-18T22:07:47:641
2680182,000000	2021-05-18T22:07:47:683
2682301,000000	2021-05-18T22:07:47:721
2685574,000000	2021-05-18T22:07:47:761
2688210,000000	2021-05-18T22:07:47:801
2690434,000000	2021-05-18T22:07:47:844
2691538,000000	2021-05-18T22:07:47:881
2688867,000000	2021-05-18T22:07:47:922
2685430,000000	2021-05-18T22:07:47:961
2682516,000000	2021-05-18T22:07:48:2
2680863,000000	2021-05-18T22:07:48:41
2680527,000000	2021-05-18T22:07:48:83
2679878,000000	2021-05-18T22:07:48:121
2680029,000000	2021-05-18T22:07:48:175
2680237,000000	2021-05-18T22:07:48:201
2679052,000000	2021-05-18T22:07:48:243
2679833,000000	2021-05-18T22:07:48:281
2678393,000000	2021-05-18T22:07:48:323
2678857,000000	2021-05-18T22:07:48:361
2681388,000000	2021-05-18T22:07:48:403
2681237,000000	2021-05-18T22:07:48:441
2682666,000000	2021-05-18T22:07:48:483
2684108,000000	2021-05-18T22:07:48:521
2686074,000000	2021-05-18T22:07:48:563
2689430,000000	2021-05-18T22:07:48:601
2689842,000000	2021-05-18T22:07:48:644
2691506,000000	2021-05-18T22:07:48:682
2693691,000000	2021-05-18T22:07:48:724
2692670,000000	2021-05-18T22:07:48:761
2690884,000000	2021-05-18T22:07:48:803
2685663,000000	2021-05-18T22:07:48:841
2685643,000000	2021-05-18T22:07:48:884
2682271,000000	2021-05-18T22:07:48:922
2681708,000000	2021-05-18T22:07:48:964
2681750,000000	2021-05-18T22:07:49:2
2681905,000000	2021-05-18T22:07:49:43
2682404,000000	2021-05-18T22:07:49:82
2682492,000000	2021-05-18T22:07:49:124
2681025,000000	2021-05-18T22:07:49:162
2681662,000000	2021-05-18T22:07:49:204
2682706,000000	2021-05-18T22:07:49:242
2683190,000000	2021-05-18T22:07:49:284
2684309,000000	2021-05-18T22:07:49:322
2686191,000000	2021-05-18T22:07:49:364
2687308,000000	2021-05-18T22:07:49:402
2688316,000000	2021-05-18T22:07:49:444
2691379,000000	2021-05-18T22:07:49:483
2690870,000000	2021-05-18T22:07:49:524
2687463,000000	2021-05-18T22:07:49:562
2681699,000000	2021-05-18T22:07:49:605
2679106,000000	2021-05-18T22:07:49:643
2677023,000000	2021-05-18T22:07:49:684
2677654,000000	2021-05-18T22:07:49:723
2676037,000000	2021-05-18T22:07:49:764
2675687,000000	2021-05-18T22:07:49:814
2675354,000000	2021-05-18T22:07:49:844
2674382,000000	2021-05-18T22:07:49:884
2674632,000000	2021-05-18T22:07:49:925
2675352,000000	2021-05-18T22:07:49:963
2675784,000000	2021-05-18T22:07:50:5
2676914,000000	2021-05-18T22:07:50:44
2677976,000000	2021-05-18T22:07:50:86
2679644,000000	2021-05-18T22:07:50:124
2681266,000000	2021-05-18T22:07:50:165
2681183,000000	2021-05-18T22:07:50:204
2678457,000000	2021-05-18T22:07:50:245
2675722,000000	2021-05-18T22:07:50:284
2671210,000000	2021-05-18T22:07:50:325
2670092,000000	2021-05-18T22:07:50:364
2667545,000000	2021-05-18T22:07:50:405
2666932,000000	2021-05-18T22:07:50:445
2666908,000000	2021-05-18T22:07:50:486
2666598,000000	2021-05-18T22:07:50:523
2665757,000000	2021-05-18T22:07:50:565
2665746,000000	2021-05-18T22:07:50:604
2666164,000000	2021-05-18T22:07:50:645
2666302,000000	2021-05-18T22:07:50:684
2667253,000000	2021-05-18T22:07:50:728
2668315,000000	2021-05-18T22:07:50:763
2669701,000000	2021-05-18T22:07:50:805
2670838,000000	2021-05-18T22:07:50:843
2672535,000000	2021-05-18T22:07:50:886
2673486,000000	2021-05-18T22:07:50:924
2668335,000000	2021-05-18T22:07:50:965
2664327,000000	2021-05-18T22:07:51:4
2661187,000000	2021-05-18T22:07:51:45
2658729,000000	2021-05-18T22:07:51:85
2658546,000000	2021-05-18T22:07:51:126
2658122,000000	2021-05-18T22:07:51:164
2656079,000000	2021-05-18T22:07:51:205
2655452,000000	2021-05-18T22:07:51:245
2654836,000000	2021-05-18T22:07:51:287
2656308,000000	2021-05-18T22:07:51:324
2656437,000000	2021-05-18T22:07:51:366
2655144,000000	2021-05-18T22:07:51:405
2656259,000000	2021-05-18T22:07:51:447
2657147,000000	2021-05-18T22:07:51:485
2658341,000000	2021-05-18T22:07:51:526
2659950,000000	2021-05-18T22:07:51:565
2662419,000000	2021-05-18T22:07:51:605
2663964,000000	2021-05-18T22:07:51:645
2664165,000000	2021-05-18T22:07:51:687
2659166,000000	2021-05-18T22:07:51:725
2655244,000000	2021-05-18T22:07:51:766
2653806,000000	2021-05-18T22:07:51:805
2651778,000000	2021-05-18T22:07:51:846
2649334,000000	2021-05-18T22:07:51:888
2647786,000000	2021-05-18T22:07:51:927
2647865,000000	2021-05-18T22:07:51:965
2647889,000000	2021-05-18T22:07:52:7
2647891,000000	2021-05-18T22:07:52:45
2648256,000000	2021-05-18T22:07:52:87
2650002,000000	2021-05-18T22:07:52:125
2649330,000000	2021-05-18T22:07:52:166
2652136,000000	2021-05-18T22:07:52:205
2652211,000000	2021-05-18T22:07:52:246
2654033,000000	2021-05-18T22:07:52:285
2655702,000000	2021-05-18T22:07:52:327
2657654,000000	2021-05-18T22:07:52:365
2661277,000000	2021-05-18T22:07:52:406
2663622,000000	2021-05-18T22:07:52:445
2665861,000000	2021-05-18T22:07:52:487
2667434,000000	2021-05-18T22:07:52:525
2670904,000000	2021-05-18T22:07:52:567
2671376,000000	2021-05-18T22:07:52:605
2668737,000000	2021-05-18T22:07:52:647
2665930,000000	2021-05-18T22:07:52:686
2664354,000000	2021-05-18T22:07:52:727
2663188,000000	2021-05-18T22:07:52:768
2661397,000000	2021-05-18T22:07:52:808
2661785,000000	2021-05-18T22:07:52:844
2664035,000000	2021-05-18T22:07:52:886
2662839,000000	2021-05-18T22:07:52:925
2663148,000000	2021-05-18T22:07:52:968
2665078,000000	2021-05-18T22:07:53:6
