light_intensity	ts
3456349,000000	2021-05-18T22:22:49:683
3452598,000000	2021-05-18T22:22:49:722
3451852,000000	2021-05-18T22:22:49:765
3445758,000000	2021-05-18T22:22:49:803
3436865,000000	2021-05-18T22:22:49:843
3426656,000000	2021-05-18T22:22:49:883
3416663,000000	2021-05-18T22:22:49:924
3411819,000000	2021-05-18T22:22:49:963
3406756,000000	2021-05-18T22:22:50:5
3403938,000000	2021-05-18T22:22:50:43
3399968,000000	2021-05-18T22:22:50:84
3395635,000000	2021-05-18T22:22:50:123
3390358,000000	2021-05-18T22:22:50:165
3386593,000000	2021-05-18T22:22:50:203
3383565,000000	2021-05-18T22:22:50:245
3380584,000000	2021-05-18T22:22:50:283
3377296,000000	2021-05-18T22:22:50:323
3375881,000000	2021-05-18T22:22:50:363
3375448,000000	2021-05-18T22:22:50:405
3370375,000000	2021-05-18T22:22:50:443
3362592,000000	2021-05-18T22:22:50:485
3348693,000000	2021-05-18T22:22:50:524
3331724,000000	2021-05-18T22:22:50:565
3318139,000000	2021-05-18T22:22:50:604
3304797,000000	2021-05-18T22:22:50:645
3295336,000000	2021-05-18T22:22:50:683
3284379,000000	2021-05-18T22:22:50:725
3279236,000000	2021-05-18T22:22:50:764
3275087,000000	2021-05-18T22:22:50:806
3267802,000000	2021-05-18T22:22:50:843
3266133,000000	2021-05-18T22:22:50:885
3263560,000000	2021-05-18T22:22:50:928
3257762,000000	2021-05-18T22:22:50:965
3259101,000000	2021-05-18T22:22:51:4
3262133,000000	2021-05-18T22:22:51:45
3268580,000000	2021-05-18T22:22:51:83
3270268,000000	2021-05-18T22:22:51:125
3274315,000000	2021-05-18T22:22:51:164
3269434,000000	2021-05-18T22:22:51:205
3262179,000000	2021-05-18T22:22:51:245
3253921,000000	2021-05-18T22:22:51:286
3239064,000000	2021-05-18T22:22:51:324
3229810,000000	2021-05-18T22:22:51:366
3223351,000000	2021-05-18T22:22:51:404
3208063,000000	2021-05-18T22:22:51:446
3196311,000000	2021-05-18T22:22:51:485
3185676,000000	2021-05-18T22:22:51:526
3174274,000000	2021-05-18T22:22:51:565
3163011,000000	2021-05-18T22:22:51:605
3155508,000000	2021-05-18T22:22:51:646
3148978,000000	2021-05-18T22:22:51:685
3153274,000000	2021-05-18T22:22:51:725
3151378,000000	2021-05-18T22:22:51:766
3148224,000000	2021-05-18T22:22:51:805
3140056,000000	2021-05-18T22:22:51:846
