light_intensity	ts
2103688,000000	2021-05-15T14:11:40:509
2103662,000000	2021-05-15T14:11:40:548
2103702,000000	2021-05-15T14:11:40:588
2103815,000000	2021-05-15T14:11:40:629
2103617,000000	2021-05-15T14:11:40:668
2103650,000000	2021-05-15T14:11:40:708
2103930,000000	2021-05-15T14:11:40:749
2103866,000000	2021-05-15T14:11:40:788
2103725,000000	2021-05-15T14:11:40:828
2103894,000000	2021-05-15T14:11:40:869
2103912,000000	2021-05-15T14:11:40:909
2103955,000000	2021-05-15T14:11:40:949
2103588,000000	2021-05-15T14:11:40:989
2103795,000000	2021-05-15T14:11:41:29
2103846,000000	2021-05-15T14:11:41:69
2103749,000000	2021-05-15T14:11:41:109
2103721,000000	2021-05-15T14:11:41:149
2103603,000000	2021-05-15T14:11:41:188
2103704,000000	2021-05-15T14:11:41:229
2103639,000000	2021-05-15T14:11:41:269
2103605,000000	2021-05-15T14:11:41:309
2103594,000000	2021-05-15T14:11:41:349
2103643,000000	2021-05-15T14:11:41:390
2103659,000000	2021-05-15T14:11:41:428
2103885,000000	2021-05-15T14:11:41:469
2103955,000000	2021-05-15T14:11:41:509
2103693,000000	2021-05-15T14:11:41:549
2103654,000000	2021-05-15T14:11:41:589
2103638,000000	2021-05-15T14:11:41:628
2103608,000000	2021-05-15T14:11:41:669
2103646,000000	2021-05-15T14:11:41:710
2103813,000000	2021-05-15T14:11:41:749
2103793,000000	2021-05-15T14:11:41:789
2103871,000000	2021-05-15T14:11:41:829
2103693,000000	2021-05-15T14:11:41:869
2103606,000000	2021-05-15T14:11:41:909
2103770,000000	2021-05-15T14:11:41:950
2103720,000000	2021-05-15T14:11:41:989
2103817,000000	2021-05-15T14:11:42:30
2103593,000000	2021-05-15T14:11:42:69
2103632,000000	2021-05-15T14:11:42:110
2103772,000000	2021-05-15T14:11:42:149
2103717,000000	2021-05-15T14:11:42:190
2103756,000000	2021-05-15T14:11:42:230
2103893,000000	2021-05-15T14:11:42:271
2103663,000000	2021-05-15T14:11:42:310
2103708,000000	2021-05-15T14:11:42:350
