x,y,z
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,9
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,9
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,9
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,9
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,9
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,9
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,9
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,9
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,9
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
0,-64,8
0,-64,8
0,-64,8
0,-64,8
0,-65,8
0,-64,8
0,-64,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-65,8
0,-64,8
0,-65,8
0,-64,8
0,-65,8
0,-65,8
