light_intensity	ts
2891661,000000	2021-05-15T14:26:39:987
2870310,000000	2021-05-15T14:26:40:28
2846560,000000	2021-05-15T14:26:40:64
2848138,000000	2021-05-15T14:26:40:107
2864968,000000	2021-05-15T14:26:40:147
2889132,000000	2021-05-15T14:26:40:189
2919834,000000	2021-05-15T14:26:40:227
2924587,000000	2021-05-15T14:26:40:268
2933116,000000	2021-05-15T14:26:40:307
2924255,000000	2021-05-15T14:26:40:348
2888201,000000	2021-05-15T14:26:40:388
2865580,000000	2021-05-15T14:26:40:428
2847227,000000	2021-05-15T14:26:40:467
2834322,000000	2021-05-15T14:26:40:508
2830200,000000	2021-05-15T14:26:40:548
2882623,000000	2021-05-15T14:26:40:588
2910608,000000	2021-05-15T14:26:40:627
2900682,000000	2021-05-15T14:26:40:668
2873362,000000	2021-05-15T14:26:40:708
2843817,000000	2021-05-15T14:26:40:748
2833111,000000	2021-05-15T14:26:40:788
2799381,000000	2021-05-15T14:26:40:828
2783761,000000	2021-05-15T14:26:40:867
2795745,000000	2021-05-15T14:26:40:908
2792462,000000	2021-05-15T14:26:40:948
2819702,000000	2021-05-15T14:26:40:990
2841937,000000	2021-05-15T14:26:41:28
2844389,000000	2021-05-15T14:26:41:68
2839572,000000	2021-05-15T14:26:41:106
2822561,000000	2021-05-15T14:26:41:148
2788845,000000	2021-05-15T14:26:41:188
2769933,000000	2021-05-15T14:26:41:228
2752583,000000	2021-05-15T14:26:41:268
2748434,000000	2021-05-15T14:26:41:308
2765459,000000	2021-05-15T14:26:41:347
2822768,000000	2021-05-15T14:26:41:390
2844822,000000	2021-05-15T14:26:41:428
2832819,000000	2021-05-15T14:26:41:469
2807473,000000	2021-05-15T14:26:41:508
2789371,000000	2021-05-15T14:26:41:549
2766070,000000	2021-05-15T14:26:41:589
2741659,000000	2021-05-15T14:26:41:629
2736746,000000	2021-05-15T14:26:41:669
2757547,000000	2021-05-15T14:26:41:709
2764371,000000	2021-05-15T14:26:41:748
2804476,000000	2021-05-15T14:26:41:790
2822335,000000	2021-05-15T14:26:41:828
2827035,000000	2021-05-15T14:26:41:869
2817878,000000	2021-05-15T14:26:41:909
2796400,000000	2021-05-15T14:26:41:949
2766155,000000	2021-05-15T14:26:42:1
2747619,000000	2021-05-15T14:26:42:29
2732876,000000	2021-05-15T14:26:42:69
2722507,000000	2021-05-15T14:26:42:109
2743350,000000	2021-05-15T14:26:42:149
2778192,000000	2021-05-15T14:26:42:191
